favorite_count,hash,retweet,retweet_count,screenName,text,timestamp,tokens,userID,token_str
0,8761139419036464495,1,0,Scrufey21,RT @GABRIELSWINGS: Hillary Clinton’s Disturbing Past http://t.co/dUT1IyQZnw,2015-06-01 03:03:56.159,"[Hillary, Clinton’s, Disturbing, Past]",490179072,"Hillary, Clinton’s, Disturbing, Past"
0,6269943047790320367,1,0,Scrufey21,RT @Newsmax_Media: Hillary Clinton's Debut Campaign Rally Set for June 13 in NYC http://t.co/fe8GkwEmRp,2015-06-01 22:21:01.681,"[Hillary, Clinton's, Debut, Campaign, Rally, Set, for, June, 13, in, NYC]",490179072,"Hillary, Clinton's, Debut, Campaign, Rally, Set, for, June, 13, in, NYC"
0,3651916155689889403,1,0,Scrufey21,RT @fubaglady: Full Event: Donald Trump Speaks at Rolling Thunder Memorial Day Event (5... https://t.co/IJsrg31gdQ,2016-05-30 00:15:57.598,"[Full, Event, Donald, Trump, Speaks, at, Rolling, Thunder, Memorial, Day, Event, (, 5]",490179072,"Full, Event, Donald, Trump, Speaks, at, Rolling, Thunder, Memorial, Day, Event, (, 5"
0,2702527048732761030,1,0,Scrufey21,"RT @w4djt: ""Donald Trump is true to who he is &amp; he's very real!"" —NeNe Leakes #dtmag https://t.co/RAxH4I9Iqx",2016-05-30 00:16:39.360,"[Donald, Trump, is, true, to, who, he, is, &, he's, very, real, !, —, NeNe, Leakes, #dtmag]",490179072,"Donald, Trump, is, true, to, who, he, is, &, he's, very, real, !, —, NeNe, Leakes, #dtmag"
0,-3885228073400373734,1,0,Scrufey21,"RT @TRUMP_PREZ: Since 1980 Donald Trump has talked about putting America First - MUST SEE VIDEO!

#HillaryClinton #BernieSanders  https://t…",2016-05-30 00:18:28.186,"[Since, 1980, Donald, Trump, has, talked, about, putting, America, First, MUST, SEE, VIDEO, !, #HillaryClinton, #BernieSanders, …]",490179072,"Since, 1980, Donald, Trump, has, talked, about, putting, America, First, MUST, SEE, VIDEO, !, #HillaryClinton, #BernieSanders, …"
0,-5641306835256730979,1,0,Scrufey21,RT @immigrant4trump: ‘Illegal immigrants are taken much better care of by this country than our veterans’ Donald Trump #trump2016 https://t…,2016-05-30 00:27:20.103,"[‘, Illegal, immigrants, are, taken, much, better, care, of, by, this, country, than, our, veterans, ’, Donald, Trump, #trump2016, …]",490179072,"‘, Illegal, immigrants, are, taken, much, better, care, of, by, this, country, than, our, veterans, ’, Donald, Trump, #trump2016, …"
0,9174844071343576283,1,0,Scrufey21,RT @Darren32895836: 500K Bikers show up 2support #Donald Trump at Rolling Thunder Rally! Crooked #Hillary Clinton #Gullible Bernie #MAGA ht…,2016-05-30 00:29:03.322,"[500K, Bikers, show, up, 2support, #Donald, Trump, at, Rolling, Thunder, Rally, !, Crooked, #Hillary, Clinton, #Gullible, Bernie, #MAGA, ht, …]",490179072,"500K, Bikers, show, up, 2support, #Donald, Trump, at, Rolling, Thunder, Rally, !, Crooked, #Hillary, Clinton, #Gullible, Bernie, #MAGA, ht, …"
0,6040977864657593959,1,0,Scrufey21,RT @Darren32895836: 500K Bikers show up 2support #Donald Trump on Memorial Day at Rolling Thunder Rally! Crooked #Hillary Clinton #MAGA htt…,2016-05-30 00:29:15.678,"[500K, Bikers, show, up, 2support, #Donald, Trump, on, Memorial, Day, at, Rolling, Thunder, Rally, !, Crooked, #Hillary, Clinton, #MAGA, htt, …]",490179072,"500K, Bikers, show, up, 2support, #Donald, Trump, on, Memorial, Day, at, Rolling, Thunder, Rally, !, Crooked, #Hillary, Clinton, #MAGA, htt, …"
0,4742949823963711021,1,0,Scrufey21,RT @ForTennessee: REAL AMERICANS KNOW -WE ALL KNOW THAT DONALD TRUMP IS OUR MESSENGER FROM GOD-HE IS HERE AN ANSWER OF PRAYERS https://t.co…,2016-05-30 00:31:24.259,"[REAL, AMERICANS, KNOW, ALL, KNOW, THAT, DONALD, TRUMP, IS, OUR, MESSENGER, FROM, GOD-HE, IS, HERE, AN, ANSWER, OF, PRAYERS, …]",490179072,"REAL, AMERICANS, KNOW, ALL, KNOW, THAT, DONALD, TRUMP, IS, OUR, MESSENGER, FROM, GOD-HE, IS, HERE, AN, ANSWER, OF, PRAYERS, …"
0,-1040436310509496405,1,0,Scrufey21,"RT @HollyAnswers: BREAKING POLL=&gt; DONALD TRUMP Is Beating Crooked Hillary… IN OREGON!

https://t.co/1FwhbPBBwI",2016-05-30 00:37:07.652,"[BREAKING, POLL, =>, DONALD, TRUMP, Is, Beating, Crooked, Hillary, …, IN, OREGON, !]",490179072,"BREAKING, POLL, =>, DONALD, TRUMP, Is, Beating, Crooked, Hillary, …, IN, OREGON, !"
